Produktfamilie,Produkttyp,Gewicht,lca-specific
Streckmetalldecken,LMD-St 213 BWS,13.57 (2000×250),
Streckmetalldecken,LMD-St 214,13.64 (1000×500),
Streckmetalldecken,LMD-St 214,18.5 (1000×250),
Streckmetalldecken,LMD-St 214,10.48 (2000×500),
Streckmetalldecken,LMD-St 214,13.32 (2000×250),
Streckmetalldecken,LMD-St 214,11.56 (1000×500),
Streckmetalldecken,LMD-St 214,16.23 (1000×250),
Streckmetalldecken,LMD-St 214,9.39 (2000×500),
Streckmetalldecken,LMD-St 214,12.07 (2000×250),
Streckmetalldecken,LMD-St 214,13.23 (1000×500),
Streckmetalldecken,LMD-St 214,18.11 (1000×250),
Streckmetalldecken,LMD-St 214,11.01 (2000×500),
Streckmetalldecken,LMD-St 214,13.89 (2000×250),
Streckmetalldecken,LMD-St 312,15.22 (1000×500),
Streckmetalldecken,LMD-St 312,20.05 (1000×250),
Streckmetalldecken,LMD-St 312,10.97 (2000×500),
Streckmetalldecken,LMD-St 312,13.79 (2000×250),
Streckmetalldecken,LMD-St 312,11.56 (1000×500),
Streckmetalldecken,LMD-St 312,16.23 (1000×250),
Streckmetalldecken,LMD-St 312,9.39 (2000×500),
Streckmetalldecken,LMD-St 312,12.07 (2000×250),
Streckmetalldecken,LMD-St 312,13.23 (1000×500),
Streckmetalldecken,LMD-St 312,18.11 (1000×250),
Streckmetalldecken,LMD-St 312,11.01 (2000×500),
Streckmetalldecken,LMD-St 312,13.89 (2000×250),
Streckmetalldecken,LMD-St 700 BWS,5.93 (1000×500),
Streckmetalldecken,LMD-St 700 BWS,9.51 (1000×250),
Lamellendecken,LMD-L 601,10.92 (100 / 35mm),lca-nb-b-160-Lindner-LMD-L-601-10.92.pdf
Lamellendecken,LMD-L 601,9.73 (200 / 35mm),
Lamellendecken,LMD-L 601,9.34 (300 / 35mm),
Lamellendecken,LMD-L 601,9.14 (400 / 35mm),
Lamellendecken,LMD-L 601,11.33 (100 / 40mm),
Lamellendecken,LMD-L 601,9.98 (200 / 40mm),
Lamellendecken,LMD-L 601,9.52 (300 / 40mm),
Lamellendecken,LMD-L 601,9.3 (400 / 40mm),
Lamellendecken,LMD-L 601,11.59 (100 / 45mm),
Lamellendecken,LMD-L 601,10.14 (200 / 45mm),
Lamellendecken,LMD-L 601,9.66 (300 / 45mm),
Lamellendecken,LMD-L 601,9.42 (400 / 45mm),
Lamellendecken,LMD-L 601,11.86 (100 / 50mm),
Lamellendecken,LMD-L 601,10.32 (200 / 50mm),
Lamellendecken,LMD-L 601,9.8 (300 / 50mm),
Lamellendecken,LMD-L 601,9.54 (400 / 50mm),
Lamellendecken,LMD-L 601,12.12 (100 / 55mm),
Lamellendecken,LMD-L 601,10.48 (200 / 55mm),
Lamellendecken,LMD-L 601,9.94 (300 / 55mm),
Lamellendecken,LMD-L 601,9.54 (400 / 55mm),
Lamellendecken,LMD-L 607,12.44 (100 / 35mm),
Lamellendecken,LMD-L 607,10.25 (200 / 35mm),
Lamellendecken,LMD-L 607,9.52 (300 / 35mm),
Lamellendecken,LMD-L 607,9.16 (400 / 35mm),
Lamellendecken,LMD-L 607,12.85 (100 / 40mm),
Lamellendecken,LMD-L 607,10.5 (200 / 40mm),
Lamellendecken,LMD-L 607,9.71 (300 / 40mm),
Lamellendecken,LMD-L 607,9.32 (400 / 40mm),
Lamellendecken,LMD-L 607,13.11 (100 / 45mm),
Lamellendecken,LMD-L 607,10.66 (200 / 45mm),
Lamellendecken,LMD-L 607,9.85 (300 / 45mm),
Lamellendecken,LMD-L 607,9.44 (400 / 45mm),
Lamellendecken,LMD-L 607,13.38 (100 / 50mm),
Lamellendecken,LMD-L 607,10.84 (200 / 50mm),
Lamellendecken,LMD-L 607,9.99 (300 / 50mm),
Lamellendecken,LMD-L 607,9.56 (400 / 50mm),
Lamellendecken,LMD-L 607,13.64 (100 / 55mm),
Lamellendecken,LMD-L 607,11 (200 / 55mm),
Lamellendecken,LMD-L 607,10.13 (300 / 55mm),
Lamellendecken,LMD-L 607,9.68 (400 / 55mm),
Lamellendecken,LMD-L 608,12.12 (100 / 35mm),
Lamellendecken,LMD-L 608,10.93 (200 / 35mm),
Lamellendecken,LMD-L 608,10.54 (300 / 35mm),
Lamellendecken,LMD-L 608,10.34 (400 / 35mm),
Lamellendecken,LMD-L 608,12.53 (100 / 40mm),
Lamellendecken,LMD-L 608,11.18 (200 / 40mm),
Lamellendecken,LMD-L 608,10.72 (300 / 40mm),
Lamellendecken,LMD-L 608,10.5 (400 / 40mm),
Lamellendecken,LMD-L 608,12.79 (100 / 45mm),
Lamellendecken,LMD-L 608,11.34 (200 / 45mm),
Lamellendecken,LMD-L 608,10.86 (300 / 45mm),
Lamellendecken,LMD-L 608,10.62 (400 / 45mm),
Lamellendecken,LMD-L 608,13.06 (100 / 50mm),
Lamellendecken,LMD-L 608,11.52 (200 / 50mm),
Lamellendecken,LMD-L 608,11 (300 / 50mm),
Lamellendecken,LMD-L 608,10.74 (400 / 50mm),
Lamellendecken,LMD-L 608,13.32 (100 / 55mm),
Lamellendecken,LMD-L 608,11.68 (200 / 55mm),
Lamellendecken,LMD-L 608,11.14 (300 / 55mm),
Lamellendecken,LMD-L 608,10.86 (400 / 55mm),
Torsion Spring,LMD-TS 100,6.42 (1000×500),lca-nb-b-162-Lindner-LMD-TS-100-6.42.pdf
Torsion Spring,LMD-TS 100,7.19 (1000×250),
Torsion Spring,LMD-TS 100,6.19 (1250×625),
Clean_room_post_cap_ceilings,LINE_80S_typ_2,34.69 (1000×500),lca-nb-b-163-Lindner-LMD-80-S-typ-2-34.69.pdf
Clean_room_post_cap_ceilings,LINE_100S_typ_2,35.7 (1000×500),
Clean_room_post_cap_ceilings,LINE_100S_typ_3,9.5 (1000×500),
Clean_room_cassette_ceilings,CLIP_K3,5.07 (584×584),lca-nb-b-164-Lindner-LMD-CLIP-K3-5.07.pdf
Clean_room_cassette_ceilings,CLIP_SK,5.07 (584×584),
