producttype,module,description_general,description_a1,description_a2,description_a3,description_s1,description_s2,description_s3
LOOP,C4,Final waste dumping or neutralising the carbon intake in module A.,,,,Panels failing Grade C quality threshold sent to landfill — assumed 5% rejection rate.,100% landfill disposal.,Shredding residues and fines to landfill — approximately 8% of mass.
LOOP,D,"Benefits and loads beyond the system boundary , credits from avoided primary production.",,,,Full credit for avoided production of new LOOP panels — highest benefit scenario.,Minimal credits — inert mineral materials in landfill yield no recovery benefit.,Partial credits for recycled mineral aggregate and recovered steel fraction.
NORTEC,A1-A3,"Raised floor panel production: steel sheet deep drawing, galvanising, mineral fibre filling, and understructure pedestal components. Includes upstream steel production emissions and energy use at the Lindner NORTEC facility (inkl. packaging).","Raw material supply (A1) covers the extraction and processing of all input materials such as wood, glue , galvanised steel for sheet components.","Transport of raw material to manufacturer (A2) covers the inbound logistics of all raw materials from their respective suppliers to the Lindner  manufacturing facility. This includes truck, rail and ship transport depending on the material origin.","Lindner Manufacturing (A3) covers all production  processes such as chipboard cutting and profiling, steel sheet assembly ,finishing and packaging. Factory energy consumption  is included.",,,
NORTEC,A4,"Transport of finished panels from the Lindner production facility to the construction site. Truck transport distance set default to 100km, scalable .",,,,,,
NORTEC,A5,Mounting on site including installation kits and disposal of packaging waste.,,,,,,
NORTEC,C1,"Deconstruction of  panels from the current building, mostly mechanical. Depending on the future use of product, deconstruction can be done with or without damaging the product.",,,,Careful removal preserving panel geometry for reuse — tool-free disassembly.,Standard demolition removal without care for panel condition — for landfill.,Demolition removal — panels collected for recycling process.
NORTEC,C2,"Transport of panels from the deconstruction site to the waste disposal facility, or Lindner in-case of future reuse.",,,,Transport to reuse facility or directly to new building project — short assumed distance.,Transport to landfill — standard regional distance.,Transport to metals recycling facility.
NORTEC,C3,"Waste processing operations such as incineration, recycling or refurbishment for a future reuse or neutralising the carbon intake in module A.",,,,Quality inspection and cleaning — damaged panels separated from reusable stock.,No pre-processing required for landfill disposal.,Steel and mineral fibre separation — shredding and magnetic separation process.
NORTEC,C4,Final waste dumping or neutralising the carbon intake in module A.,,,,Failed panels and manufacturing offcuts to landfill — small residual fraction.,100% of panel mass to landfill.,Non-recoverable residues to landfill — approximately 3% of mass.
NORTEC,D,"Benefits and loads beyond the system boundary , credits from avoided primary production.",,,,Avoided production credits for new NORTEC panels based on assumed reuse rate.,Minimal credits — small steel recovery from landfill site assumed.,Credits from avoided primary steel production based on recovered steel fraction.
NORIT,A1-A3,"Production of NORIT hollow floor screed boards: gypsum fibre composite manufacturing including natural gypsum sourcing, cellulose fibre processing, pressing and drying. Energy-intensive drying process is the dominant production impact (inkl. packaging).","Raw material supply (A1) covers the extraction and processing of all input materials such as wood, glue , galvanised steel for sheet components.","Transport of raw material to manufacturer (A2) covers the inbound logistics of all raw materials from their respective suppliers to the Lindner  manufacturing facility. This includes truck, rail and ship transport depending on the material origin.","Lindner Manufacturing (A3) covers all production  processes such as chipboard cutting and profiling, steel sheet assembly ,finishing and packaging. Factory energy consumption  is included.",,,
NORIT,A4,"Transport of finished panels from the Lindner production facility to the construction site. Truck transport distance set default to 100km, scalable .",,,,,,
NORIT,A5,Mounting on site including installation kits and disposal of packaging waste.,,,,,,
NORIT,C1,"Deconstruction of  panels from the current building, mostly mechanical. Depending on the future use of product, deconstruction can be done with or without damaging the product.",,,,Mechanical removal using scraping tools — boards broken in place.,Mechanical removal — fragments collected for landfill transport.,Selective removal to maximise intact board yield for shredding.
NORIT,C2,"Transport of panels from the deconstruction site to the waste disposal facility, or Lindner in-case of future reuse.",,,,Transport to landfill — assumed 40 km average.,Transport to landfill — assumed 40 km average.,Transport to gypsum recycling facility — assumed 60 km.
NORIT,C3,"Waste processing operations such as incineration, recycling or refurbishment for a future reuse or neutralising the carbon intake in module A.",,,,No processing — broken board material directly to landfill.,No processing — direct landfill.,Shredding and separation to recover clean gypsum fraction for recycling into new gypsum products.
NORIT,C4,Final waste dumping or neutralising the carbon intake in module A.,,,,100% of board material to landfill.,100% of board material to landfill.,Non-recyclable impurities and cellulose fraction to landfill — approximately 15% of mass.
NORIT,D,"Benefits and loads beyond the system boundary , credits from avoided primary production.",,,,No recovery — no Module D credits for landfill scenario.,No recovery — no Module D credits for landfill scenario.,Credits from avoided primary gypsum production based on recovered recycled gypsum fraction replacing natural gypsum.
