producttype,productvariant,Layer thickness,Density,declared unit,,,,,,,,,,,,,,,,,,,
Floor and more,FLOOR and more® G34,34,1349,45.87,,,,,,,,,,,,,,,,,,,
Floor and more,FLOOR and more® G34 Vario,34,1349,45.87,,,,,,,,,,,,,,,,,,,
Floor and more,FLOOR and more® Sofo. o.OBlg.,34,1349,45.87,,,,,,,,,,,,,,,,,,,
Floor and more,FLOOR and more® G40,40,1328,53.12,,,,,,,,,,,,,,,,,,,
Floor and more,FLOOR and more® G40 Vario,40,1328,53.12,,,,,,,,,,,,,,,,,,,
Floor and more,FLOOR and more® G40 (FST AT),40,1328,53.12,,,,,,,,,,,,,,,,,,,
Loop,Refurbished Raised floor panel Lindner LOOP prime and LOOP aurum,39,1500,58.7,,,,,,,,,,,,,,,,,,,
Loop,LOOP prime R32,32,1500,50.2,,,,,,,,,,,,,,,,,,,
Loop,LOOP aurum R32,32,1500,50,,,,,,,,,,,,,,,,,,,
Loop,LOOP prime R33,33,1500,51.2,,,,,,,,,,,,,,,,,,,
Loop,LOOP aurum R33,33,1500,51.5,,,,,,,,,,,,,,,,,,,
Loop,LOOP prime R34,34,1500,53.2,,,,,,,,,,,,,,,,,,,
Loop,LOOP aurum R34,34,1500,52.9,,,,,,,,,,,,,,,,,,,
Loop,LOOP prime R35,35,1500,54.1,,,,,,,,,,,,,,,,,,,
Loop,LOOP aurum R35,35,1500,54.4,,,,,,,,,,,,,,,,,,,
Loop,LOOP prime R36,36,1500,56.1,,,,,,,,,,,,,,,,,,,
Loop,LOOP aurum R36,36,1500,55.9,,,,,,,,,,,,,,,,,,,
Loop,LOOP prime R37,37,1500,56.9,,,,,,,,,,,,,,,,,,,
Loop,LOOP aurum R37,37,1500,57,,,,,,,,,,,,,,,,,,,
Loop,LOOP prime R38,38,1500,58.4,,,,,,,,,,,,,,,,,,,
Loop,LOOP aurum R38,38,1500,58.2,,,,,,,,,,,,,,,,,,,
Loop,LOOP prime R39,39,1500,58.7,,,,,,,,,,,,,,,,,,,
Loop,LOOP aurum R39,39,1500,58.5,,,,,,,,,,,,,,,,,,,
Nortec,"Raised Floor System, Type NORTEC",,,48.66,,,,,,,,,,,,,,,,,,,
Nortec,"Raised Floor System, Type NORTEC L 28",28,1555,43.54,,,,,,,,,,,,,,,,,,,
Nortec,"Raised Floor System, Type NORTEC L 30",30,1541,46.23,,,,,,,,,,,,,,,,,,,
Nortec,"Raised Floor System, Type NORTEC L 34",34,1540,52.36,,,,,,,,,,,,,,,,,,,
Nortec,"Raised Floor System, Type NORTEC L 36 ST",36,1529,55.04,,,,,,,,,,,,,,,,,,,
Nortec,"Raised Floor System, Type NORTEC L38",38,1523,57.87,,,,,,,,,,,,,,,,,,,
Nortec,"Raised Floor System, Type NORTEC L 38 ST",40,1575,63,,,,,,,,,,,,,,,,,,,
Nortec,"Raised Floor System, Type NORTEC L 40 ST",42,1574,66.11,,,,,,,,,,,,,,,,,,,
Nortec,"Raised Floor System, Type NORTEC L 42",44,1569,69.04,,,,,,,,,,,,,,,,,,,
Nortec,"Raised Floor System, Type NORTEC L 44",20,,,,,,,,,,,,,,,,,,,,,
Nortec,"Raised Floor System, Type NORTEC LP 20 ST ST",38,1529,58.1,,,,,,,,,,,,,,,,,,,
Nortec,"Raised Floor System, Type NORTEC LP 38",38,1523,57.87,,,,,,,,,,,,,,,,,,,
Nortec,"Raised Floor System, Type NORTEC LP 44 ST",44,1569,69.04,,,,,,,,,,,,,,,,,,,
Nortec,"Raised Floor System, Type NORTEC G 28 ST",28,1303.1,36.49,,,,,,,,,,,,,,,,,,,
Nortec,"Raised Floor System, Type NORTEC G 30 ST",30,1317.1,39.51,,,,,,,,,,,,,,,,,,,
Nortec,"Raised Floor System, Type NORTEC G 34 ST",34,1327.3,45.13,,,,,,,,,,,,,,,,,,,
Nortec,"Raised Floor System, Type NORTEC G 36 ST",36,1330.5,47.9,,,,,,,,,,,,,,,,,,,
Nortec,"Raised Floor System, Type NORTEC G 38 ST",38,1330.9,50.58,,,,,,,,,,,,,,,,,,,
Nortec,"Raised Floor System, Type NORTEC G 40 ST",40,1328.7,53.15,,,,,,,,,,,,,,,,,,,
Norit,NORIT-TE 20,20,1283,25.99,,,,,,,,,,,,,,,,,,,
Norit,NORIT-TE 25,25,1291,26.15,,,,,,,,,,,,,,,,,,,
Norit,NORIT High Deck 18,18,1280,25.93,,,,,,,,,,,,,,,,,,,
Norit,NORIT Screed board,20,1283,25.99,,,,,,,,,,,,,,,,,,,
Norit,NORIT Screed board ,20,1283,25.99,,,,,,,,,,,,,,,,,,,
Norit,NORIT TE 25 ,25,1291,26.15,,,,,,,,,,,,,,,,,,,
Norit,NORIT  N+F,18,1280,25.93,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
